creator,creatorLabel,linkcount
http://www.wikidata.org/entity/Q45055,Koloman Moser,30
http://www.wikidata.org/entity/Q336908,Meindert Hobbema,30
http://www.wikidata.org/entity/Q313096,Jean Metzinger,30
http://www.wikidata.org/entity/Q123138,Johannes Itten,30
http://www.wikidata.org/entity/Q260683,Grandma Moses,29
http://www.wikidata.org/entity/Q285933,Jan Brueghel the Younger,29
http://www.wikidata.org/entity/Q360978,Suzuki Harunobu,29
http://www.wikidata.org/entity/Q317736,Utagawa Kuniyoshi,29
http://www.wikidata.org/entity/Q371280,George Romney,29
http://www.wikidata.org/entity/Q520806,James Gillray,29
http://www.wikidata.org/entity/Q1530892,Balenciaga,29
http://www.wikidata.org/entity/Q164775,Georg Baselitz,29
http://www.wikidata.org/entity/Q161336,Peter Lely,29
http://www.wikidata.org/entity/Q567620,anonymous work,29
http://www.wikidata.org/entity/Q610532,David Burliuk,29
http://www.wikidata.org/entity/Q360466,George Cruikshank,29
http://www.wikidata.org/entity/Q237959,Lee Krasner,29
http://www.wikidata.org/entity/Q327758,"Prince Eugen, Duke of Närke",29
http://www.wikidata.org/entity/Q40150,Willem Claesz. Heda,29
http://www.wikidata.org/entity/Q346952,Jan Gossaert,29
http://www.wikidata.org/entity/Q442491,Joachim Patinir,29
http://www.wikidata.org/entity/Q364139,Adriaen Brouwer,29
http://www.wikidata.org/entity/Q356777,Dosso Dossi,29
http://www.wikidata.org/entity/Q463411,Hannah Höch,29
http://www.wikidata.org/entity/Q448845,James Rosenquist,29
http://www.wikidata.org/entity/Q460337,Konstantin Makovsky,29
http://www.wikidata.org/entity/Q381031,Sidney Nolan,29
http://www.wikidata.org/entity/Q217816,Limbourg brothers,29
http://www.wikidata.org/entity/Q168587,Sol LeWitt,29
http://www.wikidata.org/entity/Q321245,Richard Serra,29
http://www.wikidata.org/entity/Q455133,George Catlin,28
http://www.wikidata.org/entity/Q159465,Richard Hamilton,28
http://www.wikidata.org/entity/Q259538,Edwin Austin Abbey,28
http://www.wikidata.org/entity/Q214957,Thomas Nast,28
http://www.wikidata.org/entity/Q380494,Charles Demuth,28
http://www.wikidata.org/entity/Q328248,Pierre Alechinsky,28
http://www.wikidata.org/entity/Q380726,Reza Abbasi,28
http://www.wikidata.org/entity/Q353746,Eugène Fromentin,28
http://www.wikidata.org/entity/Q314636,Michael Graves,28
http://www.wikidata.org/entity/Q468618,Dominique Vivant,28
http://www.wikidata.org/entity/Q358541,Exekias,28
http://www.wikidata.org/entity/Q262413,Shirin Neshat,28
http://www.wikidata.org/entity/Q235903,Evelyn De Morgan,28
http://www.wikidata.org/entity/Q369263,John Trumbull,27
http://www.wikidata.org/entity/Q454945,Charles Willson Peale,27
http://www.wikidata.org/entity/Q468272,Washington Allston,27
http://www.wikidata.org/entity/Q447058,Pietro Longhi,27
http://www.wikidata.org/entity/Q551652,Mihály Munkácsy,27
